metric,auc,raw_auc,dense_needed_direction,gmean,tpr,fpr,routed_accuracy,dense_fraction,accuracy_gap_vs_dense,best_routed_accuracy_any_threshold,best_routed_dense_fraction,best_routed_accuracy_dense_le_60,best_routed_dense_fraction_dense_le_60,best_routed_accuracy_dense_le_75,best_routed_dense_fraction_dense_le_75,accuracy_at_min_dense_fraction_for_87p5,min_dense_fraction_for_87p5_accuracy,note
cv_gradient_boost_depth2_input_features,0.5172048478684634,0.5172048478684634,higher,0.5253147527499429,0.6491228070175439,0.5748792270531401,0.8409090909090909,0.5909090909090909,0.05303030303030298,0.8977272727272727,0.9810606060606061,0.8409090909090909,0.5909090909090909,0.8712121212121212,0.7083333333333334,0.875,0.8143939393939394,Cross-validated tiny model; useful as a generalization warning.
eventcloud_trace,0.5169929655055513,0.4830070344944487,lower,0.5511393249177585,0.5614035087719298,0.45893719806763283,0.821969696969697,0.4810606060606061,0.0719696969696969,0.8939393939393939,1.0,0.8257575757575758,0.5,0.8560606060606061,0.75,0.875,0.928030303030303,
time_entropy,0.5164844478345623,0.5164844478345623,higher,0.5633072223016298,0.5614035087719298,0.43478260869565216,0.8181818181818182,0.4621212121212121,0.07575757575757569,0.8939393939393939,0.9621212121212122,0.8409090909090909,0.5946969696969697,0.8522727272727273,0.6893939393939394,0.875,0.8977272727272727,
polarity_absdiff,0.5162725654716501,0.4837274345283499,lower,0.517512615035526,0.7017543859649122,0.6183574879227053,0.8409090909090909,0.6363636363636364,0.05303030303030298,0.8977272727272727,0.9848484848484849,0.8257575757575758,0.5946969696969697,0.8636363636363636,0.7348484848484849,0.875,0.8257575757575758,
popcount_prefix_ones,0.5136876006441224,0.48631239935587756,lower,0.542459423009998,0.543859649122807,0.45893719806763283,0.821969696969697,0.4772727272727273,0.0719696969696969,0.8939393939393939,0.9810606060606061,0.8333333333333334,0.5984848484848485,0.8409090909090909,0.6401515151515151,0.875,0.8371212121212122,
q2_count,0.5133062123908807,0.48669378760911935,lower,0.514226787433633,0.45614035087719296,0.42028985507246375,0.7954545454545454,0.42803030303030304,0.09848484848484851,0.8939393939393939,1.0,0.821969696969697,0.5681818181818182,0.8560606060606061,0.7272727272727273,0.875,0.8106060606060606,
q1_ones,0.5123739299940673,0.5123739299940673,higher,0.5176763589456623,0.5964912280701754,0.5507246376811594,0.821969696969697,0.5606060606060606,0.0719696969696969,0.8939393939393939,0.9886363636363636,0.8257575757575758,0.5833333333333334,0.8598484848484849,0.7386363636363636,0.875,0.8560606060606061,
coarse_active_cells,0.5105093652004407,0.4894906347995593,lower,0.5430840166803464,0.5263157894736842,0.4396135265700483,0.821969696969697,0.4583333333333333,0.0719696969696969,0.8939393939393939,0.9962121212121212,0.8295454545454546,0.5833333333333334,0.8484848484848485,0.6553030303030303,0.875,0.9507575757575758,
time_gini,0.5102127298923638,0.4897872701076363,lower,0.5511393249177585,0.5614035087719298,0.45893719806763283,0.8181818181818182,0.4810606060606061,0.07575757575757569,0.8939393939393939,0.9583333333333334,0.8371212121212122,0.5833333333333334,0.8522727272727273,0.6287878787878788,0.875,0.9242424242424242,
late_early_ratio,0.5099584710568692,0.49004152894313074,lower,0.5681014127668824,0.5614035087719298,0.4251207729468599,0.8143939393939394,0.45454545454545453,0.07954545454545447,0.8939393939393939,1.0,0.8143939393939394,0.45454545454545453,0.8371212121212122,0.7196969696969697,0.875,0.9507575757575758,
